maker_id,maker,model,product_id,group_id,group,field_id,field,priority,current_source,current_pages,reason,suggested_source,hypothesis
panasonic,パナソニック,NR-F55HY3,panasonic-nrf55hy3,refrigeration,4. 冷蔵機能,fridge-other,その他,低,Panasonic 冷蔵庫カタログ 2026春夏,公式仕様表・2026春夏カタログ,確認済み一次資料に型番単位の明記なし,取扱説明書のチルド設定・棚組み替え・ドアポケット部品一覧、公式鮮度試験ページ,チルドの温度・保存期間と、棚やドアポケットの型番別構成は、機能訴求ページだけでなく説明書の設定・部品一覧で確定できる。
panasonic,パナソニック,NR-F55HY3,panasonic-nrf55hy3,freezing,5. 冷凍機能,freezer-other,その他,低,Panasonic 冷蔵庫カタログ 2026春夏,公式仕様表・2026春夏カタログ,確認済み一次資料に型番単位の明記なし,型番別の冷凍・製氷機能比較表、冷凍室断面図、取扱説明書の運転モード一覧,特殊冷凍、小冷凍室、霜対策、収納段数、独立製氷室は別項目なので、型番別比較表と室構成図の両方が必要。
panasonic,パナソニック,NR-F55HY3,panasonic-nrf55hy3,clean,7. 清潔・お手入れ,maintenance,お手入れ,低,Panasonic 冷蔵庫カタログ 2026春夏,公式仕様表・2026春夏カタログ,確認済み一次資料に型番単位の明記なし,公式機能比較表、除菌／抗菌の試験注記、取扱説明書のお手入れ章,脱臭・除菌・抗菌は意味が異なるため、試験対象部位と試験方法が明記された一次資料が必要。
panasonic,パナソニック,NR-F55WX3,panasonic-nrf55wx3,basic,1. 基本情報,colors,カラー,中,Panasonic 冷蔵庫カタログ 2026春夏,公式仕様表・2026春夏カタログ,確認済み一次資料に型番単位の明記なし,当該年式の公式商品ページ（アーカイブを含む）または色記号入り価格表,色名・発売月・シリーズ呼称は、総合カタログより個別商品ページや販売店向け価格表の方が型番単位で明記される可能性が高い。
panasonic,パナソニック,NR-F55WX3,panasonic-nrf55wx3,refrigeration,4. 冷蔵機能,door-pocket,ドアポケット,低,Panasonic 冷蔵庫カタログ 2026春夏,公式仕様表・2026春夏カタログ,確認済み一次資料に型番単位の明記なし,取扱説明書のチルド設定・棚組み替え・ドアポケット部品一覧、公式鮮度試験ページ,チルドの温度・保存期間と、棚やドアポケットの型番別構成は、機能訴求ページだけでなく説明書の設定・部品一覧で確定できる。
panasonic,パナソニック,NR-F55WX3,panasonic-nrf55wx3,clean,7. 清潔・お手入れ,maintenance,お手入れ,低,Panasonic 冷蔵庫カタログ 2026春夏,公式仕様表・2026春夏カタログ,確認済み一次資料に型番単位の明記なし,公式機能比較表、除菌／抗菌の試験注記、取扱説明書のお手入れ章,脱臭・除菌・抗菌は意味が異なるため、試験対象部位と試験方法が明記された一次資料が必要。
panasonic,パナソニック,NR-F54EY3,panasonic-nrf54ey3,basic,1. 基本情報,colors,カラー,中,Panasonic 冷蔵庫カタログ 2026春夏,公式仕様表・2026春夏カタログ,確認済み一次資料に型番単位の明記なし,当該年式の公式商品ページ（アーカイブを含む）または色記号入り価格表,色名・発売月・シリーズ呼称は、総合カタログより個別商品ページや販売店向け価格表の方が型番単位で明記される可能性が高い。
panasonic,パナソニック,NR-F54EY3,panasonic-nrf54ey3,refrigeration,4. 冷蔵機能,door-pocket,ドアポケット,低,Panasonic 冷蔵庫カタログ 2026春夏,公式仕様表・2026春夏カタログ,確認済み一次資料に型番単位の明記なし,取扱説明書のチルド設定・棚組み替え・ドアポケット部品一覧、公式鮮度試験ページ,チルドの温度・保存期間と、棚やドアポケットの型番別構成は、機能訴求ページだけでなく説明書の設定・部品一覧で確定できる。
panasonic,パナソニック,NR-F54EY3,panasonic-nrf54ey3,refrigeration,4. 冷蔵機能,fridge-other,その他,低,Panasonic 冷蔵庫カタログ 2026春夏,公式仕様表・2026春夏カタログ,確認済み一次資料に型番単位の明記なし,取扱説明書のチルド設定・棚組み替え・ドアポケット部品一覧、公式鮮度試験ページ,チルドの温度・保存期間と、棚やドアポケットの型番別構成は、機能訴求ページだけでなく説明書の設定・部品一覧で確定できる。
panasonic,パナソニック,NR-F54EY3,panasonic-nrf54ey3,freezing,5. 冷凍機能,freezer-other,その他,低,Panasonic 冷蔵庫カタログ 2026春夏,公式仕様表・2026春夏カタログ,確認済み一次資料に型番単位の明記なし,型番別の冷凍・製氷機能比較表、冷凍室断面図、取扱説明書の運転モード一覧,特殊冷凍、小冷凍室、霜対策、収納段数、独立製氷室は別項目なので、型番別比較表と室構成図の両方が必要。
panasonic,パナソニック,NR-F54EY3,panasonic-nrf54ey3,clean,7. 清潔・お手入れ,maintenance,お手入れ,低,Panasonic 冷蔵庫カタログ 2026春夏,公式仕様表・2026春夏カタログ,確認済み一次資料に型番単位の明記なし,公式機能比較表、除菌／抗菌の試験注記、取扱説明書のお手入れ章,脱臭・除菌・抗菌は意味が異なるため、試験対象部位と試験方法が明記された一次資料が必要。
panasonic,パナソニック,NR-F54EY3,panasonic-nrf54ey3,smart,9. スマホ連携・IoT,iot-connectivity,通信・対応アプリ,低,Panasonic 冷蔵庫カタログ 2026春夏,公式仕様表・2026春夏カタログ,確認済み一次資料に型番単位の明記なし,メーカー公式アプリ対応機種一覧、ネットワーク設定ガイド、アプリ機能一覧,Wi-Fi搭載とアプリ対応、食材管理、通知、AIは別項目なので、アプリの対応型番表と機能対応表の両方が必要。
panasonic,パナソニック,NR-F54EY3,panasonic-nrf54ey3,smart,9. スマホ連携・IoT,iot-monitoring,通知・見守り・遠隔操作,低,Panasonic 冷蔵庫カタログ 2026春夏,公式仕様表・2026春夏カタログ,確認済み一次資料に型番単位の明記なし,メーカー公式アプリ対応機種一覧、ネットワーク設定ガイド、アプリ機能一覧,Wi-Fi搭載とアプリ対応、食材管理、通知、AIは別項目なので、アプリの対応型番表と機能対応表の両方が必要。
panasonic,パナソニック,NR-F54EY3,panasonic-nrf54ey3,smart,9. スマホ連携・IoT,iot-ai,AI・音声連携,低,Panasonic 冷蔵庫カタログ 2026春夏,公式仕様表・2026春夏カタログ,確認済み一次資料に型番単位の明記なし,メーカー公式アプリ対応機種一覧、ネットワーク設定ガイド、アプリ機能一覧,Wi-Fi搭載とアプリ対応、食材管理、通知、AIは別項目なので、アプリの対応型番表と機能対応表の両方が必要。
panasonic,パナソニック,NR-F53HX1,panasonic-nrf53hx1,basic,1. 基本情報,colors,カラー,中,Panasonic 冷蔵庫 公式仕様ページ,公式仕様ページ,対象年式が提供カタログ外、または型番別対応表が不足,当該年式の公式商品ページ（アーカイブを含む）または色記号入り価格表,色名・発売月・シリーズ呼称は、総合カタログより個別商品ページや販売店向け価格表の方が型番単位で明記される可能性が高い。
panasonic,パナソニック,NR-F53HX1,panasonic-nrf53hx1,refrigeration,4. 冷蔵機能,door-pocket,ドアポケット,低,Panasonic 冷蔵庫 公式仕様ページ,公式仕様ページ,対象年式が提供カタログ外、または型番別対応表が不足,取扱説明書のチルド設定・棚組み替え・ドアポケット部品一覧、公式鮮度試験ページ,チルドの温度・保存期間と、棚やドアポケットの型番別構成は、機能訴求ページだけでなく説明書の設定・部品一覧で確定できる。
panasonic,パナソニック,NR-F53HX1,panasonic-nrf53hx1,refrigeration,4. 冷蔵機能,fridge-other,その他,低,Panasonic 冷蔵庫 公式仕様ページ,公式仕様ページ,対象年式が提供カタログ外、または型番別対応表が不足,取扱説明書のチルド設定・棚組み替え・ドアポケット部品一覧、公式鮮度試験ページ,チルドの温度・保存期間と、棚やドアポケットの型番別構成は、機能訴求ページだけでなく説明書の設定・部品一覧で確定できる。
panasonic,パナソニック,NR-F53HX1,panasonic-nrf53hx1,freezing,5. 冷凍機能,frost-control,霜付き防止機能,低,Panasonic 冷蔵庫 公式仕様ページ,公式仕様ページ,対象年式が提供カタログ外、または型番別対応表が不足,型番別の冷凍・製氷機能比較表、冷凍室断面図、取扱説明書の運転モード一覧,特殊冷凍、小冷凍室、霜対策、収納段数、独立製氷室は別項目なので、型番別比較表と室構成図の両方が必要。
panasonic,パナソニック,NR-F53HX1,panasonic-nrf53hx1,freezing,5. 冷凍機能,freezer-other,その他,低,Panasonic 冷蔵庫 公式仕様ページ,公式仕様ページ,対象年式が提供カタログ外、または型番別対応表が不足,型番別の冷凍・製氷機能比較表、冷凍室断面図、取扱説明書の運転モード一覧,特殊冷凍、小冷凍室、霜対策、収納段数、独立製氷室は別項目なので、型番別比較表と室構成図の両方が必要。
panasonic,パナソニック,NR-F53HX1,panasonic-nrf53hx1,clean,7. 清潔・お手入れ,maintenance,お手入れ,低,Panasonic 冷蔵庫 公式仕様ページ,公式仕様ページ,対象年式が提供カタログ外、または型番別対応表が不足,公式機能比較表、除菌／抗菌の試験注記、取扱説明書のお手入れ章,脱臭・除菌・抗菌は意味が異なるため、試験対象部位と試験方法が明記された一次資料が必要。
panasonic,パナソニック,NR-F52BR3,panasonic-nrf52br3,basic,1. 基本情報,colors,カラー,中,Panasonic 冷蔵庫カタログ 2026春夏,公式仕様表・2026春夏カタログ,確認済み一次資料に型番単位の明記なし,当該年式の公式商品ページ（アーカイブを含む）または色記号入り価格表,色名・発売月・シリーズ呼称は、総合カタログより個別商品ページや販売店向け価格表の方が型番単位で明記される可能性が高い。
panasonic,パナソニック,NR-F52BR3,panasonic-nrf52br3,refrigeration,4. 冷蔵機能,door-pocket,ドアポケット,低,Panasonic 冷蔵庫カタログ 2026春夏,公式仕様表・2026春夏カタログ,確認済み一次資料に型番単位の明記なし,取扱説明書のチルド設定・棚組み替え・ドアポケット部品一覧、公式鮮度試験ページ,チルドの温度・保存期間と、棚やドアポケットの型番別構成は、機能訴求ページだけでなく説明書の設定・部品一覧で確定できる。
panasonic,パナソニック,NR-F52BR3,panasonic-nrf52br3,refrigeration,4. 冷蔵機能,fridge-other,その他,低,Panasonic 冷蔵庫カタログ 2026春夏,公式仕様表・2026春夏カタログ,確認済み一次資料に型番単位の明記なし,取扱説明書のチルド設定・棚組み替え・ドアポケット部品一覧、公式鮮度試験ページ,チルドの温度・保存期間と、棚やドアポケットの型番別構成は、機能訴求ページだけでなく説明書の設定・部品一覧で確定できる。
panasonic,パナソニック,NR-F52BR3,panasonic-nrf52br3,freezing,5. 冷凍機能,freezer-other,その他,低,Panasonic 冷蔵庫カタログ 2026春夏,公式仕様表・2026春夏カタログ,確認済み一次資料に型番単位の明記なし,型番別の冷凍・製氷機能比較表、冷凍室断面図、取扱説明書の運転モード一覧,特殊冷凍、小冷凍室、霜対策、収納段数、独立製氷室は別項目なので、型番別比較表と室構成図の両方が必要。
panasonic,パナソニック,NR-F52BR3,panasonic-nrf52br3,clean,7. 清潔・お手入れ,maintenance,お手入れ,低,Panasonic 冷蔵庫カタログ 2026春夏,公式仕様表・2026春夏カタログ,確認済み一次資料に型番単位の明記なし,公式機能比較表、除菌／抗菌の試験注記、取扱説明書のお手入れ章,脱臭・除菌・抗菌は意味が異なるため、試験対象部位と試験方法が明記された一次資料が必要。
panasonic,パナソニック,NR-F52BR3,panasonic-nrf52br3,smart,9. スマホ連携・IoT,iot-connectivity,通信・対応アプリ,低,Panasonic 冷蔵庫カタログ 2026春夏,公式仕様表・2026春夏カタログ,確認済み一次資料に型番単位の明記なし,メーカー公式アプリ対応機種一覧、ネットワーク設定ガイド、アプリ機能一覧,Wi-Fi搭載とアプリ対応、食材管理、通知、AIは別項目なので、アプリの対応型番表と機能対応表の両方が必要。
panasonic,パナソニック,NR-F52BR3,panasonic-nrf52br3,smart,9. スマホ連携・IoT,iot-food,食材管理・庫内確認,低,Panasonic 冷蔵庫カタログ 2026春夏,公式仕様表・2026春夏カタログ,確認済み一次資料に型番単位の明記なし,メーカー公式アプリ対応機種一覧、ネットワーク設定ガイド、アプリ機能一覧,Wi-Fi搭載とアプリ対応、食材管理、通知、AIは別項目なので、アプリの対応型番表と機能対応表の両方が必要。
panasonic,パナソニック,NR-F52BR3,panasonic-nrf52br3,smart,9. スマホ連携・IoT,iot-monitoring,通知・見守り・遠隔操作,低,Panasonic 冷蔵庫カタログ 2026春夏,公式仕様表・2026春夏カタログ,確認済み一次資料に型番単位の明記なし,メーカー公式アプリ対応機種一覧、ネットワーク設定ガイド、アプリ機能一覧,Wi-Fi搭載とアプリ対応、食材管理、通知、AIは別項目なので、アプリの対応型番表と機能対応表の両方が必要。
panasonic,パナソニック,NR-F52BR3,panasonic-nrf52br3,smart,9. スマホ連携・IoT,iot-ai,AI・音声連携,低,Panasonic 冷蔵庫カタログ 2026春夏,公式仕様表・2026春夏カタログ,確認済み一次資料に型番単位の明記なし,メーカー公式アプリ対応機種一覧、ネットワーク設定ガイド、アプリ機能一覧,Wi-Fi搭載とアプリ対応、食材管理、通知、AIは別項目なので、アプリの対応型番表と機能対応表の両方が必要。
panasonic,パナソニック,NR-F50EX1,panasonic-nrf50ex1,basic,1. 基本情報,colors,カラー,中,Panasonic 冷蔵庫 公式仕様ページ,公式仕様ページ,対象年式が提供カタログ外、または型番別対応表が不足,当該年式の公式商品ページ（アーカイブを含む）または色記号入り価格表,色名・発売月・シリーズ呼称は、総合カタログより個別商品ページや販売店向け価格表の方が型番単位で明記される可能性が高い。
panasonic,パナソニック,NR-F50EX1,panasonic-nrf50ex1,refrigeration,4. 冷蔵機能,door-pocket,ドアポケット,低,Panasonic 冷蔵庫 公式仕様ページ,公式仕様ページ,対象年式が提供カタログ外、または型番別対応表が不足,取扱説明書のチルド設定・棚組み替え・ドアポケット部品一覧、公式鮮度試験ページ,チルドの温度・保存期間と、棚やドアポケットの型番別構成は、機能訴求ページだけでなく説明書の設定・部品一覧で確定できる。
panasonic,パナソニック,NR-F50EX1,panasonic-nrf50ex1,refrigeration,4. 冷蔵機能,fridge-other,その他,低,Panasonic 冷蔵庫 公式仕様ページ,公式仕様ページ,対象年式が提供カタログ外、または型番別対応表が不足,取扱説明書のチルド設定・棚組み替え・ドアポケット部品一覧、公式鮮度試験ページ,チルドの温度・保存期間と、棚やドアポケットの型番別構成は、機能訴求ページだけでなく説明書の設定・部品一覧で確定できる。
panasonic,パナソニック,NR-F50EX1,panasonic-nrf50ex1,freezing,5. 冷凍機能,frost-control,霜付き防止機能,低,Panasonic 冷蔵庫 公式仕様ページ,公式仕様ページ,対象年式が提供カタログ外、または型番別対応表が不足,型番別の冷凍・製氷機能比較表、冷凍室断面図、取扱説明書の運転モード一覧,特殊冷凍、小冷凍室、霜対策、収納段数、独立製氷室は別項目なので、型番別比較表と室構成図の両方が必要。
panasonic,パナソニック,NR-F50EX1,panasonic-nrf50ex1,freezing,5. 冷凍機能,freezer-other,その他,低,Panasonic 冷蔵庫 公式仕様ページ,公式仕様ページ,対象年式が提供カタログ外、または型番別対応表が不足,型番別の冷凍・製氷機能比較表、冷凍室断面図、取扱説明書の運転モード一覧,特殊冷凍、小冷凍室、霜対策、収納段数、独立製氷室は別項目なので、型番別比較表と室構成図の両方が必要。
panasonic,パナソニック,NR-F50EX1,panasonic-nrf50ex1,clean,7. 清潔・お手入れ,maintenance,お手入れ,低,Panasonic 冷蔵庫 公式仕様ページ,公式仕様ページ,対象年式が提供カタログ外、または型番別対応表が不足,公式機能比較表、除菌／抗菌の試験注記、取扱説明書のお手入れ章,脱臭・除菌・抗菌は意味が異なるため、試験対象部位と試験方法が明記された一次資料が必要。
panasonic,パナソニック,NR-F50EX1,panasonic-nrf50ex1,smart,9. スマホ連携・IoT,iot-connectivity,通信・対応アプリ,低,Panasonic 冷蔵庫 公式仕様ページ,公式仕様ページ,対象年式が提供カタログ外、または型番別対応表が不足,メーカー公式アプリ対応機種一覧、ネットワーク設定ガイド、アプリ機能一覧,Wi-Fi搭載とアプリ対応、食材管理、通知、AIは別項目なので、アプリの対応型番表と機能対応表の両方が必要。
panasonic,パナソニック,NR-F50EX1,panasonic-nrf50ex1,smart,9. スマホ連携・IoT,iot-monitoring,通知・見守り・遠隔操作,低,Panasonic 冷蔵庫 公式仕様ページ,公式仕様ページ,対象年式が提供カタログ外、または型番別対応表が不足,メーカー公式アプリ対応機種一覧、ネットワーク設定ガイド、アプリ機能一覧,Wi-Fi搭載とアプリ対応、食材管理、通知、AIは別項目なので、アプリの対応型番表と機能対応表の両方が必要。
panasonic,パナソニック,NR-F50EX1,panasonic-nrf50ex1,smart,9. スマホ連携・IoT,iot-ai,AI・音声連携,低,Panasonic 冷蔵庫 公式仕様ページ,公式仕様ページ,対象年式が提供カタログ外、または型番別対応表が不足,メーカー公式アプリ対応機種一覧、ネットワーク設定ガイド、アプリ機能一覧,Wi-Fi搭載とアプリ対応、食材管理、通知、AIは別項目なので、アプリの対応型番表と機能対応表の両方が必要。
panasonic,パナソニック,NR-F50HY2,panasonic-nrf50hy2,basic,1. 基本情報,colors,カラー,中,Panasonic 冷蔵庫カタログ 2025秋冬,公式仕様表・2025秋冬カタログ,確認済み一次資料に型番単位の明記なし,当該年式の公式商品ページ（アーカイブを含む）または色記号入り価格表,色名・発売月・シリーズ呼称は、総合カタログより個別商品ページや販売店向け価格表の方が型番単位で明記される可能性が高い。
panasonic,パナソニック,NR-F50HY2,panasonic-nrf50hy2,refrigeration,4. 冷蔵機能,door-pocket,ドアポケット,低,Panasonic 冷蔵庫カタログ 2025秋冬,公式仕様表・2025秋冬カタログ,確認済み一次資料に型番単位の明記なし,取扱説明書のチルド設定・棚組み替え・ドアポケット部品一覧、公式鮮度試験ページ,チルドの温度・保存期間と、棚やドアポケットの型番別構成は、機能訴求ページだけでなく説明書の設定・部品一覧で確定できる。
panasonic,パナソニック,NR-F50HY2,panasonic-nrf50hy2,refrigeration,4. 冷蔵機能,fridge-other,その他,低,Panasonic 冷蔵庫カタログ 2025秋冬,公式仕様表・2025秋冬カタログ,確認済み一次資料に型番単位の明記なし,取扱説明書のチルド設定・棚組み替え・ドアポケット部品一覧、公式鮮度試験ページ,チルドの温度・保存期間と、棚やドアポケットの型番別構成は、機能訴求ページだけでなく説明書の設定・部品一覧で確定できる。
panasonic,パナソニック,NR-F50HY2,panasonic-nrf50hy2,freezing,5. 冷凍機能,frost-control,霜付き防止機能,低,Panasonic 冷蔵庫カタログ 2025秋冬,公式仕様表・2025秋冬カタログ,確認済み一次資料に型番単位の明記なし,型番別の冷凍・製氷機能比較表、冷凍室断面図、取扱説明書の運転モード一覧,特殊冷凍、小冷凍室、霜対策、収納段数、独立製氷室は別項目なので、型番別比較表と室構成図の両方が必要。
panasonic,パナソニック,NR-F50HY2,panasonic-nrf50hy2,freezing,5. 冷凍機能,freezer-other,その他,低,Panasonic 冷蔵庫カタログ 2025秋冬,公式仕様表・2025秋冬カタログ,確認済み一次資料に型番単位の明記なし,型番別の冷凍・製氷機能比較表、冷凍室断面図、取扱説明書の運転モード一覧,特殊冷凍、小冷凍室、霜対策、収納段数、独立製氷室は別項目なので、型番別比較表と室構成図の両方が必要。
panasonic,パナソニック,NR-F50HY2,panasonic-nrf50hy2,clean,7. 清潔・お手入れ,maintenance,お手入れ,低,Panasonic 冷蔵庫カタログ 2025秋冬,公式仕様表・2025秋冬カタログ,確認済み一次資料に型番単位の明記なし,公式機能比較表、除菌／抗菌の試験注記、取扱説明書のお手入れ章,脱臭・除菌・抗菌は意味が異なるため、試験対象部位と試験方法が明記された一次資料が必要。
panasonic,パナソニック,NR-F50HY3,panasonic-nrf50hy3,basic,1. 基本情報,colors,カラー,中,Panasonic 冷蔵庫カタログ 2026春夏,公式仕様表・2026春夏カタログ,確認済み一次資料に型番単位の明記なし,当該年式の公式商品ページ（アーカイブを含む）または色記号入り価格表,色名・発売月・シリーズ呼称は、総合カタログより個別商品ページや販売店向け価格表の方が型番単位で明記される可能性が高い。
panasonic,パナソニック,NR-F50HY3,panasonic-nrf50hy3,refrigeration,4. 冷蔵機能,door-pocket,ドアポケット,低,Panasonic 冷蔵庫カタログ 2026春夏,公式仕様表・2026春夏カタログ,確認済み一次資料に型番単位の明記なし,取扱説明書のチルド設定・棚組み替え・ドアポケット部品一覧、公式鮮度試験ページ,チルドの温度・保存期間と、棚やドアポケットの型番別構成は、機能訴求ページだけでなく説明書の設定・部品一覧で確定できる。
panasonic,パナソニック,NR-F50HY3,panasonic-nrf50hy3,refrigeration,4. 冷蔵機能,fridge-other,その他,低,Panasonic 冷蔵庫カタログ 2026春夏,公式仕様表・2026春夏カタログ,確認済み一次資料に型番単位の明記なし,取扱説明書のチルド設定・棚組み替え・ドアポケット部品一覧、公式鮮度試験ページ,チルドの温度・保存期間と、棚やドアポケットの型番別構成は、機能訴求ページだけでなく説明書の設定・部品一覧で確定できる。
panasonic,パナソニック,NR-F50HY3,panasonic-nrf50hy3,freezing,5. 冷凍機能,freezer-other,その他,低,Panasonic 冷蔵庫カタログ 2026春夏,公式仕様表・2026春夏カタログ,確認済み一次資料に型番単位の明記なし,型番別の冷凍・製氷機能比較表、冷凍室断面図、取扱説明書の運転モード一覧,特殊冷凍、小冷凍室、霜対策、収納段数、独立製氷室は別項目なので、型番別比較表と室構成図の両方が必要。
panasonic,パナソニック,NR-F50HY3,panasonic-nrf50hy3,clean,7. 清潔・お手入れ,maintenance,お手入れ,低,Panasonic 冷蔵庫カタログ 2026春夏,公式仕様表・2026春夏カタログ,確認済み一次資料に型番単位の明記なし,公式機能比較表、除菌／抗菌の試験注記、取扱説明書のお手入れ章,脱臭・除菌・抗菌は意味が異なるため、試験対象部位と試験方法が明記された一次資料が必要。
panasonic,パナソニック,NR-F49EY2,panasonic-nrf49ey2,basic,1. 基本情報,colors,カラー,中,Panasonic 冷蔵庫カタログ 2025秋冬,公式仕様表・2025秋冬カタログ,確認済み一次資料に型番単位の明記なし,当該年式の公式商品ページ（アーカイブを含む）または色記号入り価格表,色名・発売月・シリーズ呼称は、総合カタログより個別商品ページや販売店向け価格表の方が型番単位で明記される可能性が高い。
panasonic,パナソニック,NR-F49EY2,panasonic-nrf49ey2,refrigeration,4. 冷蔵機能,door-pocket,ドアポケット,低,Panasonic 冷蔵庫カタログ 2025秋冬,公式仕様表・2025秋冬カタログ,確認済み一次資料に型番単位の明記なし,取扱説明書のチルド設定・棚組み替え・ドアポケット部品一覧、公式鮮度試験ページ,チルドの温度・保存期間と、棚やドアポケットの型番別構成は、機能訴求ページだけでなく説明書の設定・部品一覧で確定できる。
panasonic,パナソニック,NR-F49EY2,panasonic-nrf49ey2,refrigeration,4. 冷蔵機能,fridge-other,その他,低,Panasonic 冷蔵庫カタログ 2025秋冬,公式仕様表・2025秋冬カタログ,確認済み一次資料に型番単位の明記なし,取扱説明書のチルド設定・棚組み替え・ドアポケット部品一覧、公式鮮度試験ページ,チルドの温度・保存期間と、棚やドアポケットの型番別構成は、機能訴求ページだけでなく説明書の設定・部品一覧で確定できる。
panasonic,パナソニック,NR-F49EY2,panasonic-nrf49ey2,freezing,5. 冷凍機能,frost-control,霜付き防止機能,低,Panasonic 冷蔵庫カタログ 2025秋冬,公式仕様表・2025秋冬カタログ,確認済み一次資料に型番単位の明記なし,型番別の冷凍・製氷機能比較表、冷凍室断面図、取扱説明書の運転モード一覧,特殊冷凍、小冷凍室、霜対策、収納段数、独立製氷室は別項目なので、型番別比較表と室構成図の両方が必要。
panasonic,パナソニック,NR-F49EY2,panasonic-nrf49ey2,freezing,5. 冷凍機能,freezer-other,その他,低,Panasonic 冷蔵庫カタログ 2025秋冬,公式仕様表・2025秋冬カタログ,確認済み一次資料に型番単位の明記なし,型番別の冷凍・製氷機能比較表、冷凍室断面図、取扱説明書の運転モード一覧,特殊冷凍、小冷凍室、霜対策、収納段数、独立製氷室は別項目なので、型番別比較表と室構成図の両方が必要。
